input_1,input_2,input_3,input_4,y1,input_1 (M),input_2 (M),input_3(M),input_4(M),Median
64,26,169,25,15.73884841,0.96969697,0.315151515,0.512121212,0.227272727,21.41250645
154,42,69,47,21.13965144,2.333333333,0.509090909,0.209090909,0.427272727,
160,63,50,49,22.8691478,2.424242424,0.763636364,0.151515152,0.445454545,
23,98,92,46,16.97929347,0.348484848,1.187878788,0.278787879,0.418181818,
152,82,33,45,23.49177869,2.303030303,0.993939394,0.1,0.409090909,
25,29,38,238,20.71687093,0.378787879,0.351515152,0.115151515,2.163636364,
26,29,23,21,9.733673849,0.393939394,0.351515152,0.06969697,0.190909091,
25,237,23,21,27.88396118,0.378787879,2.872727273,0.06969697,0.190909091,
22,44,236,25,16.17188551,0.333333333,0.533333333,0.715151515,0.227272727,
20,21,26,235,19.64699224,0.303030303,0.254545455,0.078787879,2.136363636,
237,28,28,22,22.37397307,3.590909091,0.339393939,0.084848485,0.2,
29,28,24,21,9.154949674,0.439393939,0.339393939,0.072727273,0.190909091,
29,236,23,20,27.63282487,0.439393939,2.860606061,0.06969697,0.181818182,
30,33,237,27,15.19033897,0.454545455,0.4,0.718181818,0.245454545,
43,26,20,237,21.16603277,0.651515152,0.315151515,0.060606061,2.154545455,
235,21,30,41,22.92300323,3.560606061,0.254545455,0.090909091,0.372727273,
29,236,34,30,28.36744336,0.439393939,2.860606061,0.103030303,0.272727273,
21,29,31,28,9.164089829,0.318181818,0.351515152,0.093939394,0.254545455,
26,32,232,34,14.83699174,0.393939394,0.387878788,0.703030303,0.309090909,
234,22,26,27,22.07909014,3.545454545,0.266666667,0.078787879,0.245454545,
31,28,32,232,20.76800325,0.46969697,0.339393939,0.096969697,2.109090909,
26,235,23,28,28.33802657,0.393939394,2.848484848,0.06969697,0.254545455,
26,33,28,24,10.9610086,0.393939394,0.4,0.084848485,0.218181818,
31,20,232,28,14.25079229,0.46969697,0.242424242,0.703030303,0.254545455,
234,25,35,27,22.52169653,3.545454545,0.303030303,0.106060606,0.245454545,
26,24,40,230,20.3679406,0.393939394,0.290909091,0.121212121,2.090909091,
30,231,32,30,28.20096209,0.454545455,2.8,0.096969697,0.272727273,
29,36,26,23,10.94792504,0.439393939,0.436363636,0.078787879,0.209090909,
23,24,231,46,15.55142967,0.348484848,0.290909091,0.7,0.418181818,
24,24,50,229,20.36501184,0.363636364,0.290909091,0.151515152,2.081818182,
232,25,33,27,22.46000107,3.515151515,0.303030303,0.1,0.245454545,
26,228,21,24,27.74538029,0.393939394,2.763636364,0.063636364,0.218181818,
26,21,27,50,9.891321382,0.393939394,0.254545455,0.081818182,0.454545455,
47,20,225,31,15.16301808,0.712121212,0.242424242,0.681818182,0.281818182,
23,34,21,227,20.5706497,0.348484848,0.412121212,0.063636364,2.063636364,
26,228,36,24,27.81141374,0.393939394,2.763636364,0.109090909,0.218181818,
227,22,44,26,22.12924299,3.439393939,0.266666667,0.133333333,0.236363636,
21,45,27,28,10.37990379,0.318181818,0.545454545,0.081818182,0.254545455,
31,25,224,22,14.64445717,0.46969697,0.303030303,0.678787879,0.2,
44,20,20,227,20.89507441,0.666666667,0.242424242,0.060606061,2.063636364,
31,225,36,38,28.46818345,0.46969697,2.727272727,0.109090909,0.345454545,
223,51,21,36,24.11451659,3.378787879,0.618181818,0.063636364,0.327272727,
29,49,223,27,16.13919278,0.439393939,0.593939394,0.675757576,0.245454545,
28,23,32,44,9.962205791,0.424242424,0.278787879,0.096969697,0.4,
25,38,32,227,21.30597691,0.378787879,0.460606061,0.096969697,2.063636364,
222,35,21,23,22.78185863,3.363636364,0.424242424,0.063636364,0.209090909,
34,36,224,31,15.43909285,0.515151515,0.436363636,0.678787879,0.281818182,
28,220,36,34,28.22214299,0.424242424,2.666666667,0.109090909,0.309090909,
26,22,58,24,10.87407468,0.393939394,0.266666667,0.175757576,0.218181818,
22,35,34,226,21.03717929,0.333333333,0.424242424,0.103030303,2.054545455,
222,28,32,25,22.13783818,3.363636364,0.339393939,0.096969697,0.227272727,
20,29,222,55,15.05808597,0.303030303,0.351515152,0.672727273,0.5,
21,48,34,25,11.75511551,0.318181818,0.581818182,0.103030303,0.227272727,
23,217,60,25,26.98378624,0.348484848,2.63030303,0.181818182,0.227272727,
55,30,22,223,21.83157767,0.833333333,0.363636364,0.066666667,2.027272727,
221,25,38,37,22.55178562,3.348484848,0.303030303,0.115151515,0.336363636,
23,25,221,21,14.90826716,0.348484848,0.303030303,0.66969697,0.190909091,
53,24,27,26,10.69006452,0.803030303,0.290909091,0.081818182,0.236363636,
30,217,47,23,27.17507952,0.454545455,2.63030303,0.142424242,0.209090909,
30,43,32,224,21.89564641,0.454545455,0.521212121,0.096969697,2.036363636,
