input_1,input_2,input_3,input_4,objective_1
37.0,28.0,111.0,27.0,17.57454059
93.0,26.0,156.0,24.0,20.51221664
129.0,23.0,51.0,58.0,22.5203905
61.0,45.0,78.0,52.0,23.86477342
145.0,22.0,24.0,32.0,22.74691258
63.0,93.0,31.0,27.0,22.90965373
31.0,64.0,119.0,72.0,22.19768706
98.0,51.0,50.0,79.0,24.77923668
36.0,149.0,29.0,47.0,27.82630764
31.0,128.0,59.0,27.0,25.48655373
62.0,58.0,125.0,28.0,23.60386988
48.0,126.0,27.0,115.0,27.99919604
150.0,76.0,67.0,25.0,27.4194594
82.0,36.0,47.0,134.0,22.43186095
92.0,135.0,28.0,24.0,27.29075791
64.0,66.0,69.0,110.0,25.07703441
69.0,36.0,104.0,100.0,21.20827782
54.0,53.0,90.0,101.0,22.5452778
65.0,36.0,100.0,85.0,20.74467695
32.0,59.0,54.0,30.0,20.15904281
157.0,63.0,73.0,21.0,24.92243153
35.0,31.0,136.0,41.0,19.85947565
39.0,42.0,110.0,50.0,21.04465489
117.0,61.0,83.0,29.0,23.78895825
50.0,42.0,57.0,88.0,21.54202902
30.0,113.0,24.0,138.0,26.00870082
46.0,127.0,25.0,114.0,26.9156407
48.0,126.0,20.0,116.0,27.18975951
30.0,128.0,26.0,31.0,22.88940947
38.0,136.0,27.0,33.0,24.16364812
48.0,102.0,34.0,115.0,24.80702512
46.0,121.0,30.0,116.0,27.04462107
48.0,144.0,30.0,70.0,26.73035281
37.0,133.0,29.0,43.0,24.64504787
48.0,122.0,27.0,112.0,26.82570422
67.0,148.0,26.0,48.0,26.42162227
43.0,122.0,27.0,116.0,26.0139513
35.0,149.0,29.0,86.0,25.48655984
46.0,126.0,20.0,115.0,26.59509611
36.0,149.0,28.0,47.0,24.70094061
53.0,138.0,71.0,23.0,24.61428897
70.0,124.0,28.0,45.0,23.3471557
48.0,142.0,25.0,70.0,22.68347239
126.0,77.0,48.0,62.0,22.59244916
49.0,121.0,28.0,115.0,24.30831746
36.0,149.0,31.0,27.0,22.22274357
36.0,143.0,44.0,48.0,24.64492717
46.0,144.0,29.0,47.0,24.12701379
39.0,149.0,30.0,91.0,25.72903943
36.0,149.0,30.0,103.0,24.85157945
25.0,147.0,24.0,47.0,23.56261332
152.0,70.0,56.0,21.0,24.01781814
48.0,127.0,25.0,115.0,27.14757918
93.0,80.0,30.0,23.0,22.45228925
47.0,126.0,21.0,116.0,27.1320631
22.0,156.0,20.0,106.0,29.13137631
30.0,149.0,67.0,44.0,27.60932987
32.0,125.0,28.0,116.0,26.72815255
131.0,129.0,29.0,23.0,32.12837075
146.0,123.0,28.0,21.0,30.79517718
101.0,127.0,29.0,21.0,27.50140525
148.0,119.0,33.0,28.0,24.38273938983335
21.0,149.0,29.0,109.0,31.29500688190083
22.0,155.0,28.0,112.0,24.216129974016383
48.0,130.0,24.0,113.0,23.05757446006957
27.0,142.0,32.0,51.0,25.00078503050588
137.0,120.0,21.0,22.0,22.96286710458793
28.0,146.0,29.0,114.0,31.4756301570803
27.0,140.0,25.0,112.0,22.84442610233993
148.0,130.0,21.0,22.0,24.113020745219927
32.0,154.0,27.0,116.0,23.258903470389324
52.0,117.0,34.0,115.0,22.55987590355784
133.0,124.0,21.0,33.0,23.741182475363885
24.0,138.0,30.0,112.0,31.2532902455182
25.0,152.0,35.0,112.0,23.229894651990445
23.0,133.0,25.0,114.0,22.20256864366681
150.0,131.0,28.0,20.0,23.285960045143963
23.0,154.0,21.0,109.0,22.961300025550543
124.0,139.0,32.0,22.0,23.412553708565927
28.0,137.0,21.0,108.0,22.143542044747694
31.0,154.0,27.0,106.0,23.0620165364212
31.0,142.0,25.0,119.0,22.53035809578517
142.0,119.0,24.0,22.0,22.00240523601772
20.0,156.0,29.0,107.0,23.110571364178263
137.0,137.0,21.0,25.0,22.73448728555557
26.0,143.0,34.0,110.0,22.260316285895303
28.0,149.0,24.0,99.0,22.27147729541991
23.0,143.0,24.0,119.0,22.420404857960893
140.0,129.0,32.0,26.0,22.48063131720005
25.0,161.0,30.0,102.0,22.450905503329725
140.0,126.0,25.0,27.0,23.49571045932939
38.0,70.0,47.0,93.0,19.58504793433215
20.0,44.0,91.0,119.0,18.59100158530619
102.0,49.0,27.0,92.0,20.44653222993153
102.0,28.0,33.0,34.0,17.66215100475363
127.0,77.0,84.0,42.0,21.37955998156403
26.0,24.0,105.0,65.0,15.369917329745023
86.0,25.0,112.0,82.0,18.88592054122191
59.0,35.0,26.0,113.0,21.19755579511952
132.0,52.0,25.0,104.0,21.882206440369547
29.0,85.0,43.0,47.0,18.531547759329683
26.0,108.0,83.0,22.0,21.78211982099495
29.0,28.0,38.0,45.0,13.558109526195592
28.0,223.0,31.0,28.0,28.59529015598859
23.0,37.0,56.0,54.0,14.608897381956863
29.0,124.0,58.0,25.0,20.00694461904861
70.0,50.0,73.0,82.0,19.0186194126222
62.0,64.0,127.0,53.0,19.63521649559913
75.0,59.0,54.0,102.0,20.632663992106213
81.0,51.0,58.0,53.0,18.964652275704456
80.0,68.0,84.0,98.0,21.21743065712037
178.0,42.0,22.0,46.0,20.88038157562456
80.0,40.0,84.0,98.0,22.20581354048428
31.0,20.0,46.0,155.0,17.91733460634448
