input_1,input_2,input_3,input_4,input_5,objective_1
36.0,24.0,86.0,121.0,39.0,14.5035433
128.0,28.0,68.0,50.0,25.0,12.45179959
47.0,41.0,27.0,24.0,166.0,11.60338288
38.0,66.0,32.0,54.0,33.0,13.64986397
114.0,83.0,49.0,49.0,24.0,14.34425437
42.0,161.0,34.0,23.0,21.0,18.03259731
124.0,43.0,49.0,72.0,31.0,13.36074358
43.0,51.0,48.0,79.0,79.0,14.7028977
109.0,63.0,80.0,39.0,23.0,15.05114302
33.0,108.0,45.0,49.0,65.0,16.63005279
38.0,53.0,71.0,41.0,58.0,15.08332893
45.0,40.0,70.0,35.0,40.0,14.20443739
84.0,62.0,95.0,44.0,43.0,15.60949158
56.0,77.0,95.0,69.0,30.0,17.16026934
86.0,34.0,34.0,68.0,57.0,12.6218245
57.0,21.0,68.0,140.0,28.0,14.83948053
35.0,75.0,75.0,26.0,116.0,22.35827394
69.0,78.0,21.0,54.0,22.0,13.69758469
91.0,21.0,49.0,64.0,57.0,12.2719433
67.0,53.0,46.0,81.0,44.0,14.18937069
96.0,100.0,37.0,44.0,40.0,15.35504087
80.0,47.0,77.0,23.0,91.0,14.7778299
51.0,40.0,23.0,43.0,137.0,11.22696696
44.0,91.0,69.0,26.0,71.0,17.41404457
50.0,26.0,26.0,59.0,39.0,10.51849831
83.0,132.0,28.0,51.0,29.0,16.05961312
119.0,20.0,74.0,43.0,35.0,12.57869824
38.0,34.0,117.0,23.0,47.0,16.69442847
84.0,34.0,42.0,75.0,73.0,12.10662461
33.0,55.0,78.0,43.0,26.0,15.85010915
49.0,52.0,110.0,22.0,93.0,16.59634916
49.0,33.0,60.0,63.0,31.0,13.50959344
39.0,22.0,79.0,155.0,25.0,15.02093748
77.0,20.0,91.0,75.0,42.0,14.09561171
71.0,22.0,77.0,45.0,86.0,12.94495142
47.0,77.0,35.0,88.0,64.0,14.82503134
49.0,47.0,141.0,33.0,21.0,18.77259826
130.0,31.0,27.0,50.0,85.0,11.6277737
74.0,65.0,22.0,47.0,35.0,12.77865932
146.0,59.0,20.0,59.0,28.0,12.50899854
37.0,124.0,24.0,53.0,69.0,17.38986021
133.0,44.0,37.0,53.0,35.0,12.73846461
119.0,60.0,22.0,27.0,86.0,12.51897482
40.0,74.0,21.0,38.0,137.0,13.9624086
113.0,58.0,20.0,88.0,42.0,13.14158031
70.0,86.0,22.0,51.0,81.0,14.19594103
61.0,82.0,53.0,74.0,38.0,23.6742982
39.0,102.0,24.0,40.0,92.0,20.50812822
82.0,39.0,50.0,68.0,70.0,14.25843364
68.0,66.0,53.0,43.0,33.0,15.14140241
95.0,30.0,91.0,49.0,44.0,15.96932975
49.0,45.0,44.0,128.0,51.0,15.2400768
45.0,32.0,73.0,58.0,44.0,15.14360771
